acc x,acc y,acc z
0.431564,9.273102,-0.462906
0.297104,9.228241,-0.455765
0.106995,9.151367,-0.516388
-0.018784,9.105759,-0.503265
-0.130569,9.107269,-0.5504
-0.104889,9.182922,-0.579269
-0.021408,9.275452,-0.554901
0.041733,9.386002,-0.707001
0.019073,9.348862,-0.761627
-0.005829,9.279541,-0.802734
0.059875,9.268402,-0.779221
0.15033,9.362122,-0.798965
0.16626,9.531723,-0.802475
0.249176,9.674332,-0.856216
0.359497,9.745667,-0.770416
0.349258,9.638382,-0.689209
0.350891,9.245285,-0.603684
0.48291,8.879517,-0.421188
0.879425,8.782135,-0.330231
1.362854,8.945496,-0.350845
1.89714,9.213058,-0.440552
2.294739,9.609604,-0.700989
2.463287,9.8815,-1.018173
2.427704,10.01796,-1.273438
2.126175,10.044739,-1.221787
1.728821,9.861145,-1.147873
1.310104,9.636963,-0.913269
0.861298,9.423294,-0.59552
0.567688,9.235489,-0.428085
0.420044,9.142593,-0.3246
0.325577,9.068207,-0.368256
0.310638,9.067886,-0.37706
0.268448,9.170547,-0.425842
0.217911,9.301514,-0.434372
0.012817,9.336258,-0.572662
-0.242737,9.29335,-0.603409
-0.451752,9.256729,-0.529373
-0.326263,9.196075,-0.447311
-0.094299,9.20166,-0.415512
0.189163,9.220871,-0.358002
0.531845,9.306778,-0.366699
0.844833,9.38179,-0.31192
1.147018,9.351746,-0.23822
1.479019,9.32225,-0.192459
1.733231,9.323944,-0.175476
1.830902,9.298447,-0.243042
1.763473,9.335449,-0.35437
1.697708,9.458191,-0.462646
1.61583,9.619461,-0.538696
1.514923,9.799515,-0.521896
1.39978,9.857712,-0.535583
1.233887,9.794662,-0.602035
1.021042,9.68364,-0.681671
0.805237,9.595001,-0.758957
0.547058,9.520554,-0.942993
0.342667,9.461456,-1.086563
0.174225,9.42543,-1.134064
0.197845,9.427185,-1.159683
0.271194,9.451309,-1.227448
0.450745,9.627182,-1.306595
0.78537,9.992691,-1.351074
1.042969,10.455353,-1.3853
1.123917,10.787277,-1.504776
1.064758,10.866653,-1.532669
1.010651,10.804382,-1.462875
1.145004,10.750656,-1.508789
1.149307,10.853897,-1.457107
1.032242,10.980179,-1.300522
0.977509,11.047028,-1.110489
1.017777,11.084961,-0.887512
1.018997,11.064743,-0.687576
0.866501,10.935974,-0.577377
0.542938,10.740295,-0.463837
0.179718,10.402634,-0.207306
0.080765,10.084091,-0.071213
0.667404,10.571075,-0.132385
1.836655,12.032501,-0.511307
2.339447,12.867172,-1.440353
1.7547,12.302368,-1.991516
1.051117,11.077301,-1.872543
0.598114,9.762939,-1.946915
0.366806,8.962372,-2.272263
0.324951,8.655228,-2.559677
0.168579,8.519623,-2.697449
-0.172836,8.541794,-2.681274
-0.366623,9.04924,-2.27652
-0.380646,10.432892,-1.377289
-0.619537,12.286179,-0.657562
-1.245026,13.550919,-0.732544
-1.873718,13.651917,-1.258774
-1.934189,13.059433,-1.315369
-1.49585,12.340454,-0.804474
-0.96637,11.617676,-0.416779
-0.604935,10.921204,-0.572845
-0.469894,10.298599,-1.156265
-0.446472,9.778839,-1.783005
-0.539352,9.441238,-2.131409
-0.657974,9.321014,-1.953979
-0.725159,9.304428,-1.53627
-0.774399,9.297607,-1.056274
-0.724075,9.215988,-0.531036
-0.553696,9.057587,-0.081573
-0.357635,8.810135,0.251465
-0.213348,8.483459,0.520523
-0.056747,8.145462,0.741531
0.185776,7.775482,0.919281
0.421478,7.408188,1.139145
0.638275,7.087006,1.344055
0.790375,6.777451,1.543137
0.786789,6.468689,1.726318
0.656143,6.142075,1.843628
0.472733,5.799591,2.021667
0.18306,5.444534,2.302445
-0.217072,5.155014,2.58757
-0.601334,4.913788,2.787415
-0.890823,4.784592,3.023209
-1.077438,4.80423,3.451355
-1.17691,5.010086,3.955612
-1.111298,5.462021,4.510254
-0.888016,6.198837,5.165268
-0.566833,7.169647,5.873047
-0.0513,8.217545,6.527389
0.326523,9.191223,6.960327
0.363831,9.922012,6.715881
0.171249,10.40741,5.774033
-0.050873,10.6978,4.532181
-0.18457,10.764969,3.450302
-0.107239,10.679626,2.84317
0.139328,10.563278,2.605926
0.215591,10.538498,2.305496
-0.227936,11.244919,1.850128
1.014358,14.518341,3.035019
2.770187,18.197144,5.826538
4.615814,19.309692,8.400803
5.044952,17.614105,6.813751
2.986603,11.904785,1.572372
0.325607,6.130447,-2.507172
-1.193207,2.188583,-2.538208
-2.391037,-0.513321,-1.089478
-3.597961,-1.336716,0.09523
-3.772018,0.055038,0.695145
-2.920013,2.740341,0.05806
-1.519897,6.354019,-1.768234
0.428238,10.936386,-3.601608
2.154709,15.524872,-4.1268
2.956711,17.821747,-3.024475
2.673218,16.656998,-1.575272
1.919342,13.286316,-0.46167
1.271637,9.709778,0.659134
0.636108,6.977966,1.630615
-0.177917,5.141022,2.359436
-0.638626,4.290497,2.814346
-0.965622,4.427139,2.884918
-0.323578,5.395142,2.239792
0.668137,6.991928,1.132462
2.044083,8.944153,-0.028625
3.492294,10.847061,-1.169663
4.347305,11.970734,-2.097748
4.415405,12.017044,-2.729446
3.836716,11.294922,-2.714981
3.037704,10.265701,-2.047379
2.21936,9.303162,-0.864441
1.380936,8.58226,0.187042
0.548218,8.197632,0.92305
-0.077164,8.157578,1.055023
-0.54007,8.546707,0.79454
-0.783005,9.177307,0.261398
-0.68576,9.945374,-0.141525
-0.278976,10.546631,-0.430664
0.095184,10.693085,-0.682526
0.629593,10.572952,-0.570587
1.020371,10.295792,-0.379532
1.208145,9.821335,-0.198364
0.859299,9.025345,-0.173279
0.396088,8.199448,-0.241486
0.525848,8.538208,-0.446136
1.081589,10.119492,-0.621628
1.654495,11.712463,-1.005447
1.869751,12.405426,-1.314514
1.928772,12.173737,-0.939468
1.987717,11.406616,-0.085861
2.073547,10.672073,0.844116
2.216873,10.295547,0.836288
2.399048,10.596436,-0.574799
3.445648,13.06192,-2.1185
3.154343,15.148788,-4.016907
0.987793,15.440018,-4.3797
-1.297531,13.519806,-4.004837
-2.408859,10.411377,-4.35672
-2.229157,7.98555,-4.15329
-2.054535,6.386291,-2.946304
-2.106201,5.937073,-1.702652
-1.381744,7.2435,-0.605042
-0.476913,10.011841,0.089737
-0.171585,12.540771,0.030045
-0.687424,13.709076,-0.892914
-1.069794,14.171463,-1.402679
-0.879623,14.278534,-0.743012
-0.196075,13.753418,-0.27829
0.442078,12.622391,-0.335556
0.523239,11.325836,-0.564499
0.269653,10.162003,-0.682236
0.028336,9.36763,-0.853134
-0.072922,8.917313,-1.128662
-0.403946,8.882187,-1.33519
-0.646469,8.8591,-2.044312
-0.914948,8.858078,-2.446487
-1.048248,8.855957,-2.532913
-1.145721,8.778229,-2.09343
-1.200058,8.510407,-1.304123
-1.076553,8.16745,-0.5047
-0.824615,7.666412,0.386398
-0.413406,7.098251,1.2603
-0.054169,6.544968,1.971741
0.187027,5.986816,2.671127
0.277603,5.346863,3.111481
0.26091,4.777603,3.520508
0.047623,4.292114,3.810684
-0.11438,4.107315,4.195267
-0.256256,3.994156,4.698975
-0.322876,4.073334,5.142425
-0.511353,4.355942,5.270233
-0.784134,4.939484,5.103775
-0.913437,5.899994,4.924591
-0.704742,7.136444,4.959747
-0.619766,8.718964,5.172012
-0.306091,10.408371,5.31871
0.256302,11.868103,5.309647
0.551422,12.909958,4.635467
0.259644,13.114532,3.250916
-0.034378,12.576111,2.271011
-0.393677,11.447021,1.548935
-1.332977,11.459198,1.564377
-0.239914,14.093414,4.42186
0.570938,16.291077,7.54451
0.490753,15.662766,7.471207
-1.569641,11.852325,2.584366
-2.866104,7.944015,-1.627197
-2.206497,4.937149,-2.416702
-1.331268,3.224747,-2.157013
0.165359,2.616242,-1.207123
2.39357,3.092804,-0.3116
4.071594,4.08963,-0.584549
5.040573,5.912018,-1.63533
5.087585,8.660278,-2.890808
4.228867,11.98616,-3.057419
2.957504,15.089279,-2.682282
1.202591,16.468216,-1.927002
-0.192368,15.059769,-1.478607
-1.205093,12.201706,-0.592453
-1.760391,9.370834,0.478012
-2.261475,7.23848,1.525742
-2.085495,5.855835,1.692642
-1.519501,5.553955,1.450149
-0.427109,6.276138,0.644913
0.605713,7.570724,-0.353699
1.640625,9.088516,-1.621674
2.360367,10.271103,-2.639908
3.079239,11.015381,-3.178558
3.547668,11.345139,-3.136215
3.746674,11.193314,-2.658768
3.51123,10.782715,-1.75473
2.981094,10.164291,-0.765747
2.318542,9.615158,0.058273
1.544647,9.108322,0.636795
0.899338,8.790329,0.838455
0.612732,8.80397,0.838181
0.644119,9.068375,0.625763
0.850891,9.383545,0.407059
0.987625,9.79483,0.321686
0.938934,10.088623,0.241455
0.616486,10.171799,0.51178
-0.239655,9.781815,0.749405
-1.058243,8.951767,0.645554
-1.108475,8.559692,0.147308
-0.312393,9.28978,-0.4823
0.892761,10.701401,-1.026657
1.718475,12.058609,-1.166
2.189972,12.404037,-0.585342
2.061203,11.654968,0.892899
1.924454,10.371521,2.172668
1.825287,9.275146,2.622192
1.706589,8.597931,1.893051
1.679916,8.492905,-0.295822
2.202988,10.22966,-1.899017
2.89566,13.538284,-2.662216
0.737595,13.323273,-4.321381
-1.640854,10.175247,-5.645401
-2.118378,7.553894,-5.373932
-1.523087,6.932297,-3.315033
-0.577255,8.721832,-0.543259
-0.085922,11.858948,1.191711
-0.236343,14.324539,0.718491
-1.022736,14.86969,-0.705093
-1.529572,13.947647,-1.395996
-1.281403,13.166901,-0.712051
-0.514145,13.282852,0.432861
0.032166,13.663483,0.855484
-0.00444,13.605118,0.385803
-0.727158,12.730713,-0.428452
-1.478378,11.589478,-1.13501
-1.734894,10.507935,-1.31041
-1.885315,9.661194,-1.051392
-1.765213,9.035996,-0.79158
-1.387711,8.653641,-0.759048
-0.933578,8.283997,-0.828598
-0.551163,7.943588,-1.002533
-0.31192,7.62001,-0.832336
-0.196014,7.224426,-0.564178
-0.071701,6.815613,-0.165573
0.096939,6.384415,0.230606
0.267685,5.982254,0.8517
0.36319,5.645874,1.376648
0.348312,5.342148,2.14064
0.368256,5.10788,2.751694
0.315109,5.02507,3.271515
0.229935,5.061585,3.680283
0.061142,5.180023,3.788193
-0.159332,5.231796,3.580032
-0.345352,5.374206,3.186081
-0.358887,5.609619,2.919785
-0.272644,6.007599,2.954483
-0.179947,6.631195,3.202789
-0.128845,7.591385,3.788956
-0.006561,8.79892,4.689285
0.037933,10.114517,5.886673
-0.107941,11.217011,6.870056
-0.263214,11.794998,7.316467
-0.19632,11.844009,6.804321
-0.106415,11.429199,5.411468
-0.058243,10.611343,4.17337
-0.314423,9.623352,3.079849
-0.775757,9.932114,2.382294
0.503601,13.52771,3.350525
2.127899,17.836868,5.777786
2.452652,19.103455,7.035324
-0.07515,16.407898,2.376709
-2.852936,10.010635,-3.885483
-2.695679,5.628006,-5.222473
-1.67218,2.686493,-4.034287
-0.971939,1.09079,-1.658188
0.234711,0.794952,0.994385
1.515625,1.668427,1.600815
2.375153,3.664246,-0.072342
2.845505,7.016846,-2.000122
2.643478,11.404861,-3.276703
2.11113,15.80365,-3.563004
1.325287,18.00241,-3.418915
0.248489,16.562393,-3.143463
-0.459518,12.994232,-2.091202
-0.301575,9.638809,-0.455917
0.32692,7.168533,0.959702
0.914413,5.637451,1.78389
1.383072,5.080612,1.783295
1.416107,5.622681,1.308594
1.460495,7.036301,0.333649
1.528336,8.752365,-0.878464
1.679337,10.294723,-1.932037
1.859283,11.325699,-2.778473
2.054169,11.704605,-2.952042
2.190414,11.573776,-2.336136
2.242691,11.06192,-1.15979
2.075989,10.340103,-0.056412
1.719559,9.598221,0.760666
1.261856,9.018249,1.158524
0.827362,8.709274,1.107834
0.606506,8.733612,0.852142
0.662094,9.005432,0.475449
0.771805,9.392822,0.112427
0.891022,9.869156,-0.080566
0.859161,10.210465,0.036713
0.697357,10.203735,0.335754
0.231476,9.641846,0.695358
-0.282715,8.74794,0.839233
-0.348236,7.991913,0.744873
0.331787,8.224579,0.275482
1.189117,9.316696,-0.328873
1.791809,10.556885,-0.838379
2.146118,11.101746,-0.723679
2.569687,10.628784,0.066269
2.926407,9.470016,0.973206
2.9543,8.527206,1.245926
2.774933,8.469955,0.207306
3.082825,10.428162,-1.455322
3.191345,13.661224,-2.573975
1.430817,15.170273,-3.764221
-1.183411,14.04863,-4.200729
-2.648605,11.547943,-4.460449
-2.844971,8.994553,-4.669235
-2.363037,7.709702,-3.882568
-1.70224,7.930405,-2.577606
-1.113739,9.730042,-1.59906
-1.003662,12.107697,-1.297943
-1.688843,14.02829,-1.85379
-2.475861,14.506592,-2.710251
-2.643906,14.204864,-2.557648
-2.117477,13.868759,-1.220154
-1.417007,13.467331,-0.041245
-1.098648,12.765137,0.455933
-1.286514,11.670227,0.310287
-1.665161,10.579102,-0.090652
-1.766007,9.716522,-0.594894
-1.650009,9.149963,-1.089844
-1.33403,8.905899,-1.516235
-0.964127,8.79071,-1.962036
-0.747635,8.69696,-2.326843
-0.561554,8.612717,-2.498215
0.131027,8.235092,-3.554336
-0.035034,8.129822,-2.679169
-0.284988,8.000839,-0.927902
0.154022,7.488388,-0.550415
0.389755,7.017792,0.042542
0.594131,6.568176,0.90773
0.892929,6.088791,1.86583
1.148438,5.626068,2.716827
1.282272,5.182877,3.34552
1.328247,4.835144,3.741898
1.281143,4.561081,4.094406
1.151642,4.349594,4.377243
1.055038,4.26413,4.619751
1.12529,4.425659,4.85051
1.155029,4.824127,4.990158
1.068497,5.464279,5.021347
0.922256,6.475327,5.074738
0.829102,8.098328,5.228561
0.613983,10.107376,5.437225
0.035675,12.181564,5.60582
-0.965775,13.480591,5.143539
-2.11911,13.837219,4.058579
-2.66127,13.16449,2.861206
-2.560867,11.828674,2.268738
-2.158783,10.045639,2.650299
-2.696533,8.421707,3.242477
-2.767929,9.315018,3.547226
-1.319153,13.107971,4.346939
-0.262314,16.75235,5.499344
-1.261459,17.124847,5.729935
-2.788467,13.883575,1.645615
-3.213791,10.11261,-3.124176
-2.007553,7.321274,-4.665527
0.396072,5.645966,-4.107681
2.538742,4.620666,-2.867233
3.668213,3.978851,-1.004852
4.013718,3.687027,1.341705
4.166717,4.11499,2.38205
4.099518,5.439682,1.039993
4.107223,7.992065,-1.665909
4.484772,11.816284,-4.211548
4.984344,15.628876,-4.771515
4.286835,17.495804,-4.090515
2.282425,16.071777,-3.021027
0.376816,12.330536,-1.204849
-0.347488,8.90184,0.851685
-0.774139,6.521195,1.845123
-1.380051,5.062454,1.827866
-1.572754,4.900528,1.427185
-1.41217,5.791794,0.875092
-0.916245,6.983688,0.080566
-0.298904,8.214722,-0.736755
0.43692,9.531555,-1.273132
1.241379,10.660629,-1.507553
1.626999,11.015503,-1.51123
1.633011,10.682541,-1.19751
1.60257,9.852524,-0.564026
1.655487,8.914246,0.218262
1.869186,7.964783,0.679489
1.949677,7.43486,0.703583
1.962082,7.237717,0.48616
1.846588,7.462326,0.163803
1.787521,8.095154,-0.109177
1.861679,9.206375,-0.27153
1.782669,10.667038,-0.353897
1.255737,11.96347,-0.40155
0.269104,12.18045,-0.387192
-0.667572,11.254501,-0.274124
-1.195892,9.997116,0.383209
-1.206543,9.288391,1.177566
-0.918457,9.04744,1.319672
-0.480988,9.257126,0.733093
0.070465,9.787994,0.027008
0.69162,10.365646,-0.637772
1.486221,10.803619,-1.218857
2.3759,10.810562,-1.353226
3.190277,10.526703,-0.931946
3.813492,10.106384,-0.146072
4.009582,9.721115,0.416
3.848831,9.35611,0.11026
4.178162,10.651672,0.356552
4.182083,12.758484,-0.219849
2.951569,13.561401,-1.612274
1.448471,13.289703,-2.689529
0.443268,12.579605,-2.896591
0.129059,11.668121,-2.511108
-0.248703,10.519119,-2.43396
-0.615707,9.130936,-3.017731
-0.804886,8.235779,-3.324387
-1.069717,7.966629,-3.07605
-1.338852,8.253738,-2.736099
-1.692383,9.087448,-2.19371
-1.768662,10.071762,-1.915619
-1.915634,11.243332,-1.776566
-2.334259,12.424118,-1.748947
-2.825195,13.166824,-1.625961
-2.939987,13.497559,-1.217117
-2.68132,12.885468,-0.998703
-2.085327,11.835861,-1.154266
-1.307281,10.939255,-1.294632
-0.647446,10.265015,-1.280472
-0.188278,9.862335,-1.388504
0.068207,9.594376,-1.856278
0.169327,9.470169,-2.434967
0.289215,9.459793,-2.774521
0.429291,9.438751,-3.001556
0.254074,9.30217,-2.656799
0.123917,9.026611,-1.985321
0.149307,8.785645,-1.137848
0.229065,8.421692,-0.162918
0.239639,7.964066,0.969223
0.028625,7.512817,1.566711
-0.553802,6.976395,2.164658
