frame,acc x,acc y,acc z
1147,0.790356,10.286609,-0.62031
1148,0.783171,10.181228,-0.958008
1149,0.783171,10.181228,-0.958008
1150,0.799937,10.063872,-1.223855
1151,0.783171,9.953701,-1.437012
1152,0.720901,9.78605,-1.444197
1153,0.696951,9.778865,-1.372346
1154,0.696951,9.778865,-1.372346
1155,0.787961,9.886641,-0.886157
1156,0.787961,9.886641,-0.886157
1157,0.948428,10.207573,-0.66342
1158,0.917292,10.736873,-0.579595
1159,0.862207,10.688972,-0.534089
1160,0.797542,10.509346,-0.677791
1161,0.797542,10.509346,-0.677791
1162,1.068179,10.487791,-0.814307
1163,1.17356,10.576406,-0.912502
1164,1.17356,10.576406,-0.912502
1165,1.116079,10.724897,-0.821492
1166,1.161584,10.796748,-0.65384
1167,1.108894,10.947634,-0.392783
1168,1.125659,11.218271,-0.083826
1169,1.020278,11.376343,0.311353
1170,0.953218,11.541599,0.62031
1171,0.958008,11.824211,1.049019
1172,0.881367,12.130774,1.712439
1173,0.833467,12.341536,2.224973
1174,0.807122,12.482842,2.289639
1175,0.840652,12.564272,2.078877
1176,1.013093,12.751084,2.248923
1177,1.092129,12.784614,2.392625
1178,1.326841,12.636123,2.406995
1179,1.753154,12.396621,2.054927
1180,2.184258,12.154724,1.367556
1181,2.579436,11.527229,0.368833
1182,2.809358,10.667417,-0.191602
1183,2.974614,9.996812,-0.376018
1184,3.142266,9.565708,-1.080154
1185,2.988984,9.20885,-1.23583
1186,2.792593,9.144185,-0.814307
1187,2.656077,9.16574,0.071851
1188,2.301614,9.263936,1.003513
1189,2.090852,9.22322,1.405876
1190,1.741179,9.045989,1.559158
1191,1.460962,8.856782,1.645378
1192,1.125659,8.55022,1.523232
1193,0.737666,8.176597,1.310076
1194,0.447869,7.668853,1.092129
1195,0.447869,7.668853,1.092129
1196,0.584385,7.003037,0.792751
1197,0.821492,6.856941,0.857417
1198,0.821492,6.856941,0.857417
1199,1.602268,6.924001,1.149609
1200,1.983076,7.094048,1.314866
1201,2.359094,7.36229,1.626218
1202,2.48603,7.513176,1.923201
1203,2.617756,7.678433,2.078877
1204,2.751877,7.872429,2.296824
1205,2.850073,7.994575,2.46687
1206,2.773433,8.135881,2.668052
1207,2.636917,8.176597,2.883604
1208,2.483635,8.131091,3.226091
1209,2.315984,8.111931,3.554209
1210,2.251318,8.078401,4.172124
1211,2.167493,7.999365,4.720583
